,word1,word2,similarity,w2v
197,calendar,system,1.916666667,0.07705017
198,call,meeting,2.727272727,0.20024922
199,call,statement,2.125,0.18656728
200,campaign,operation,2.826086957,0.26569903
201,candy,sweet,4.510638298,0.3450829
202,cap,covering,3.681818182,0.25894472
203,capital,seat,2.32,0.046349153
204,captain,officer,4.0,0.21985902
205,card,plastic,2.391304348,0.19011292
206,carriage,coach,3.708333333,-0.0043791863
207,cart,wagon,4.375,0.47518063
208,cartoon,wit,2.666666667,0.14618912
209,case,grip,2.12,0.06822123
210,case,luggage,3.68,0.14608765
211,case,tin,2.6,0.08988266
212,cast,fishing,2.6,0.09511565
213,cat,vision,1.431818182,0.021340933
214,category,flavor,2.428571429,0.1445393
215,cave,formation,2.347826087,0.13330874
216,ceiling,overhead,3.52,0.3256508
217,cement,glue,3.0,0.28643596
218,center,loss,1.304347826,0.07423599
219,century,decade,3.434782609,0.6030655
220,century,period,3.769230769,0.14901054
221,century,temperature,1.130434783,0.09948189
222,certificate,study,3.136363636,0.11113692
223,certificate,wave,1.145833333,0.027755206
224,chair,furniture,3.869565217,0.2761164
225,chair,rocker,2.826086957,0.1369541
226,chance,opportunity,4.590909091,0.7239693
227,chance,probability,4.619047619,0.37132984
228,chandler,retailer,2.130434783,0.1516061
229,change,decrease,3.0,0.3771621
230,change,move,3.434782609,0.4249569
231,channel,sound,3.2,0.08016107
232,character,vision,1.666666667,0.24365008
233,charge,damage,2.375,0.17173012
234,charge,tax,4.086956522,0.22514
235,check,draft,3.952380952,0.061821863
236,cheese,food,4.0,0.35976917
237,chemical,salt,3.590909091,0.24933933
238,chess,duty,1.166666667,-0.09396787
239,chick,hen,3.863636364,0.46162012
240,chicken,poultry,4.217391304,0.655916
241,chief,guru,3.904761905,0.30038756
242,child,kid,4.857142857,0.4754674
243,chin,feature,2.875,-0.013178642
244,choice,option,4.590909091,0.5115454
245,chuck,jaw,2.090909091,0.11162069
246,church,temple,4.347826087,0.48433524
247,circle,oval,3.347826087,0.28099677
248,citrus,orange,4.208333333,0.34716874
249,climb,mount,4.166666667,0.32009992
250,clock,timer,4.416666667,0.317478
251,cloth,satin,3.857142857,0.44971853
252,cloud,energy,1.727272727,0.13514373
253,club,society,3.869565217,0.20762011
254,coach,trainer,4.6,0.4173556
255,coat,newspaper,1.088888889,0.046910062
256,coat,roof,2.304347826,0.24117456
257,code,software,3.52,0.35378456
258,coffee,meeting,2.602941176,0.121105514
259,coin,currency,4.571428571,0.32449713
260,collapse,shock,3.043478261,0.29290554
261,collection,packet,2.772727273,0.10463986
262,collision,smash,3.904761905,0.33687955
263,color,purple,4.090909091,0.5209281
264,color,quality,2.407407407,0.27614757
265,coloring,yellow,3.791666667,0.40759608
266,comfort,relief,3.857142857,0.2708766
267,commander,editor,2.041666667,0.30545506
268,commerce,transport,2.739130435,0.28482965
269,commitment,guarantee,3.791666667,0.2599522
270,communication,message,4.083333333,0.290499
271,communication,statement,3.391304348,0.17444237
272,communication,tune,2.409090909,0.016869247
273,community,province,3.391304348,0.20996812
274,community,territory,2.739130435,0.16152945
275,company,distributor,3.523809524,0.4235365
276,company,establishment,3.833333333,0.10736075
277,comparison,scrutiny,2.727272727,0.2192763
278,compound,salt,3.045454545,0.03645503
279,conclusion,result,4.523809524,0.26138812
280,condition,status,4.090909091,0.27853352
281,conditions,weather,3.666666667,0.51808125
282,congress,sex,1.818181818,0.08995352
283,connection,keyboard,2.4,0.14032416
284,conservation,traveling,1.717391304,0.05651368
285,construction,window,2.761904762,0.027976621
286,continent,ground,2.791666667,0.16465841
287,control,driving,3.714285714,0.14286198
288,cook,printer,1.347826087,0.15016535
289,cooking,cuisine,4.25,0.51952434
290,copy,image,3.25,0.21214145
291,copy,work,3.125,0.17293286
292,cord,pick,1.590909091,0.0663801
293,cord,yarn,2.761904762,0.25635833
294,corridor,hall,4.041666667,0.20914564
295,corruption,house,1.255319149,0.060658872
296,cost,postage,3.086956522,0.37246546
297,cost,reward,2.80952381,0.18706453
298,couch,lounge,3.347826087,0.39867106
299,count,number,4.166666667,0.32043839
300,counter,furniture,2.3,0.079784036
301,country,playground,1.791666667,0.06605238
302,course,starter,2.666666667,0.011506043
303,court,drawer,1.272727273,0.07789749
304,court,tribunal,3.791666667,0.5196799
305,cousin,relation,4.043478261,0.08918697
306,cousin,relative,4.5,0.29645735
307,cover,feather,2.44,0.017070228
308,cover,hair,2.65,0.1252718
309,cover,sleeve,3.260869565,0.18215609
310,covering,skin,3.35,0.07687571
311,crack,hole,3.04,0.17486876
312,craft,trade,3.458333333,0.17483905
313,creation,stitch,2.68,0.11756605
314,creativity,vision,3.181818182,0.32731715
315,credit,sum,3.0,0.10113042
316,creek,stream,3.88,0.4357223
317,crew,society,2.0,0.11282312
318,crew,unit,3.590909091,0.15324059
319,crop,plant,4.083333333,0.20734356
320,crow,jay,2.217391304,0.36004776
321,crown,place,1.541666667,0.28323054
322,crush,push,2.181818182,0.3074694
323,cube,dice,3.925925926,0.21997076
324,cup,handbag,1.318181818,0.23449232
325,cup,son,1.086956522,0.059290443
326,current,flow,3.761904762,0.08659165
327,curve,rainbow,3.44,0.1008469
328,customers,mission,1.641304348,0.1287059
329,cut,meat,2.904761905,0.1450544
330,cutter,knife,4.458333333,0.29431367
331,cylinder,pen,2.227272727,0.18388483
332,dad,parent,4.545454545,0.276781
333,daisy,flower,4.5,0.5681578
334,damage,terms,1.761904762,0.054936577
335,danger,status,1.904761905,0.1113042
336,dash,sprint,3.375,0.44282317
337,dashboard,protection,2.173913043,0.101319194
338,database,list,4.08,0.361802
339,daughter,girl,4.04,0.64898646
340,day,shoes,1.288888889,0.123106614
341,deal,hand,3.041666667,0.069705255
342,debt,deficit,3.458333333,0.41728586
343,debt,loan,4.347826087,0.4969017
344,debt,possession,2.481481481,0.011560268
345,decision,option,2.909090909,0.23543087
346,decrease,increase,3.541666667,0.8370319
347,deep,ocean,3.636363636,0.26088113
348,deficit,trust,1.576923077,0.058430657
349,degree,quantity,2.681818182,0.1527235
350,degree,style,1.652173913,0.0831812
351,delivery,distribution,3.590909091,0.42278278
352,department,division,4.625,0.33124718
353,descent,fall,3.304347826,0.18825589
354,desert,tract,2.2,0.10852231
355,desire,feeling,4.227272727,0.3267295
356,desk,table,4.172413793,0.40456727
357,determination,discovery,2.608695652,0.21692517
358,determination,selection,2.75,0.13631985
359,development,exploitation,2.2,0.346949
360,device,drum,2.583333333,0.05341143
361,devil,satan,4.782608696,0.51373875
362,dialogue,play,3.44,0.19007288
363,diamond,parcel,1.217391304,0.17550646
364,digit,toe,2.64,0.099548765
365,digit,unit,3.681818182,0.13646203
366,dinner,party,3.826086957,0.2702083
367,direction,government,2.173913043,0.10408872
368,direction,protocol,3.142857143,0.06665599
369,direction,traveling,3.136363636,0.09378915
370,dirt,sand,3.391304348,0.5580169
371,dirt,soil,4.0,0.42408016
372,discharge,spark,2.782608696,-0.043840446
373,disease,illness,4.739130435,0.6003288
374,display,language,1.916666667,0.038281146
375,distance,distribution,1.739130435,-0.013814736
376,diversion,skiing,1.826086957,0.021778975
377,dividend,net,2.52,0.28527933
378,dividend,profit,4.045454545,0.35410336
379,diving,swim,3.96,0.4599348
380,dock,herb,1.238095238,-0.065113135
381,document,report,3.826086957,0.480361
382,dog,fauna,2.666666667,0.18985222
383,domain,land,2.523809524,0.2207487
384,door,light,1.577777778,0.07479645
385,doubt,ego,1.772727273,0.25755244
386,drama,genre,2.714285714,0.29649985
387,draw,finish,2.375,0.30211827
388,draw,tie,2.958333333,0.31372887
389,drawer,pan,1.818181818,0.21110247
390,dressing,patch,2.523809524,0.14904468
391,dressing,sauce,2.869565217,0.32633603
392,drill,implement,2.666666667,0.14498645
393,drink,slice,2.772727273,0.06334998
394,driver,supporter,2.090909091,0.16655496
395,driver,worker,3.1,0.37560737
396,drop,serving,2.136363636,0.0215403
397,drug,liquor,3.523809524,0.36254808
398,drug,operator,1.416666667,0.027726166
399,drum,piano,3.652173913,0.39795837
400,eagle,hawk,3.833333333,0.26419786
401,ear,organ,3.909090909,0.25384033
402,ease,relaxation,4.5,0.3131668
403,ease,rest,3.916666667,0.14888892
404,editing,instrument,1.64,0.07471393
405,editor,worker,3.125,0.19936989
406,eight,movement,1.318181818,0.05596772
407,element,iron,3.318181818,0.10932781
408,element,mixture,3.0,0.32457957
409,element,nickel,3.782608696,0.1365079
410,elevator,lift,4.72,0.20784386
411,emission,gum,1.25,0.06766386
412,employee,server,3.318181818,0.1907193
413,endorsement,signature,3.545454545,0.28239983
414,energy,microwave,3.583333333,0.18245557
415,engineering,technology,4.16,0.37565416
416,environment,land,3.090909091,0.14624208
417,equipment,recorder,3.391304348,0.17514418
418,equipment,seat,2.136363636,0.021784566
419,establishment,religion,2.173913043,0.15165304
420,event,influence,1.76,0.03524207
421,event,phenomenon,3.173913043,0.22803108
422,evidence,format,1.476190476,0.0081148725
423,evidence,record,3.681818182,0.1646672
424,examination,quiz,4.391304348,0.25589988
425,examiner,tea,1.3,-0.011503352
426,executive,minister,3.095238095,0.19448501
427,executive,organization,3.2,0.36890095
428,explanation,theory,3.652173913,0.36333296
429,express,mail,3.619047619,0.19967552
430,extract,selection,3.086956522,0.043566756
431,eye,organ,4.125,0.06567185
432,fabric,lace,3.625,0.47918984
433,fabric,sail,2.380952381,0.15661675
434,faith,religion,4.227272727,0.53862715
435,fantasy,recycling,1.125,0.025452811
436,farmer,individual,2.545454545,0.08733298
437,fault,mistake,4.541666667,0.44187033
438,fauna,toy,1.304347826,0.11016558
439,feature,side,1.833333333,0.12891383
440,feedback,flow,2.666666667,0.12233613
441,feeling,hope,3.48,0.32811946
442,female,slave,2.125,0.18799303
443,female,woman,4.96,0.49690485
444,fiction,literature,3.590909091,0.4626724
445,fiction,romance,2.476190476,0.41817737
446,field,science,3.0,0.1951485
447,field,yard,3.8,0.36171612
448,fight,separation,2.681818182,0.045014225
449,figure,stamp,1.88,0.208699
450,film,movie,4.912280702,0.867677
451,find,implementation,2.045454545,-0.066348605
452,find,occurrence,2.739130435,0.059000466
453,finger,toe,3.76,0.435135
454,flag,iris,1.708333333,0.16066542
455,flame,reaction,1.954545455,0.08897653
456,flash,lightning,3.96,0.34375593
457,flat,housing,3.96,0.13923255
458,flavor,variety,3.318181818,0.2193408
459,flight,trip,3.772727273,0.43602842
460,floor,level,3.333333333,0.22473808
461,floor,porch,2.739130435,0.3090866
462,flora,plant,4.384615385,0.23130386
463,flora,violet,3.347826087,0.36159796
464,flour,garlic,2.4,0.42991355
465,flower,pink,2.739130435,0.3710305
466,flute,wind,2.826086957,0.17460632
467,flyer,justice,1.181818182,0.011484297
468,food,sausage,3.913043478,0.30401015
469,foot,recognition,1.431372549,-0.04974273
470,football,rugby,3.208333333,0.56163174
471,forecast,message,2.5,0.07914921
472,forest,ground,2.681818182,0.09739312
473,form,type,3.909090909,0.30061948
474,format,packaging,2.47826087,0.21284588
475,format,style,4.086956522,0.35081643
476,foundation,support,3.913043478,0.2830377
477,fox,wolf,3.090909091,0.57000005
478,framework,grill,3.428571429,0.055172045
479,freeze,frost,4.0,0.37706754
480,friend,individual,2.791666667,0.008136147
481,front,school,1.48,0.015242944
482,front,surface,3.0,0.059064746
483,fruit,seed,3.818181818,0.2568777
484,fuel,gasoline,4.48,0.70660836
485,fuel,nutrition,2.428571429,0.12309304
486,fund,store,1.826086957,0.06470805
487,funds,interest,3.375,0.21880299
488,furniture,table,4.181818182,0.19831792
489,gamble,kitty,1.636363636,0.11351371
490,gamble,pyramid,1.380952381,0.08591549
491,game,tennis,4.166666667,0.3000977
492,garbage,rubbish,4.520833333,0.6797531
493,garden,plantation,3.55,0.29224473
494,garlic,meal,3.083333333,0.26718545
495,garment,sweater,3.7,0.38042423
496,garment,tie,3.636363636,0.1228859
497,gas,hydrogen,4.090909091,0.450172
498,gas,neon,3.869565217,0.10366966
499,gathering,parade,3.625,0.34954602
500,gauge,meter,3.863636364,0.20850274
501,gear,mechanism,4.090909091,0.10267884
502,gem,quartz,3.227272727,0.2641403
503,gender,sex,4.434782609,0.4571374
504,gender,size,1.571428571,0.23931366
505,genre,prose,2.363636364,0.36125806
506,glass,tub,2.88,0.39229226
507,glove,wear,3.416666667,0.17879629
508,goal,objective,4.590909091,0.4896921
509,golf,hockey,2.727272727,0.42976424
510,good,sheet,1.458333333,0.059991833
511,governor,mayor,3.666666667,0.53813934
512,governor,politician,4.125,0.46803358
513,graphic,image,4.318181818,0.3113564
514,grass,universe,1.76,-0.036814068
515,gray,property,1.5,0.02266273
516,grip,handle,4.047619048,0.2616636
517,grip,hold,4.391304348,0.33310872
518,growth,process,3.291666667,0.14539114
519,guarantee,warranty,4.230769231,0.30999067
520,guess,universe,1.243243243,0.17599498
521,gulf,ocean,3.227272727,0.38465357
522,hack,machine,2.458333333,0.22382246
523,hamburger,nutrition,3.041666667,0.23877308
524,hand,script,3.260869565,0.111645535
525,happening,surprise,2.708333333,0.18749635
526,head,question,1.24,0.06621278
527,head,secretary,1.909090909,0.38650435
528,health,welfare,3.5,0.50554425
529,hearing,proceedings,3.130434783,0.49503082
530,heart,space,1.583333333,0.079977326
531,heart,ticker,3.181818182,0.12700856
532,heat,temperature,4.25,0.5625721
533,height,infinite,2.434782609,0.11559936
534,helmet,scale,1.380952381,-0.021376992
535,help,support,4.619047619,0.4639649
536,help,supporter,3.833333333,0.08955659
537,heritage,loss,1.681818182,0.08208916
538,highway,street,3.545454545,0.4152851
539,highway,trail,2.863636364,0.4103436
540,hit,tourist,1.44,0.1651412
541,hole,opening,3.76,0.075505994
542,holiday,vacation,4.619047619,0.5512029
543,hood,protection,2.913043478,0.12288607
544,hood,shelter,2.571428571,0.092468016
545,horn,tail,2.692307692,0.33979604
546,horse,mount,2.875,0.2662916
547,hose,pipe,4.0,0.5512638
548,housing,vault,2.0,0.028348126
549,icon,representation,3.380952381,0.106004454
550,implement,stick,2.5,0.23292679
551,impulse,motive,2.869565217,0.22033513
552,impulse,urge,4.5,0.31548285
553,information,target,1.95,0.046109308
554,ink,liquid,3.64,0.27938202
555,installation,zoo,1.44,0.054278865
556,institution,prison,2.565217391,0.13376719
557,instruction,lesson,3.8,0.4439626
558,instruction,teaching,4.523809524,0.5560813
559,instrumentation,perfume,1.208333333,0.1260487
560,instrumentation,rod,2.863636364,0.18345162
561,intensity,quiet,2.181818182,0.2508765
562,interest,lien,2.541666667,0.1529273
563,intervention,treatment,2.363636364,0.3369496
564,inventory,listing,3.380952381,0.20938645
565,investment,tomato,1.155555556,0.05416252
566,jail,nick,1.782608696,0.1678129
567,jail,prison,4.739130435,0.8501914
568,jaw,lens,1.260869565,0.23879509
569,join,union,4.0,0.08406891
570,joke,message,2.636363636,0.24045908
571,journey,travel,4.8,0.38364086
572,judgment,sense,3.541666667,0.2299524
573,jumper,sweater,3.347826087,0.21705945
574,jury,school,1.476190476,0.04433111
575,justice,official,3.043478261,0.1171315
576,kiss,sweet,3.0,0.3637646
577,kitchen,toilet,2.545454545,0.4612505
578,knight,prince,3.375,0.5390364
579,knowledge,revolution,2.2,0.115942314
580,knowledge,taste,1.869565217,0.2219459
581,lake,stream,4.130434783,0.3049887
582,lamb,young,3.285714286,0.11978075
583,language,tongue,3.652173913,0.40057632
584,latex,rubber,3.913043478,0.53706396
585,law,personnel,1.772727273,0.06308927
586,layer,region,2.458333333,0.09131894
587,layer,snow,2.434782609,0.18260999
588,leader,politician,4.238095238,0.36607778
589,lesson,teaching,4.136363636,0.37008405
590,letter,text,3.84,0.26062274
591,level,stage,4.0,0.289671
592,license,permission,4.19047619,0.43883672
593,license,security,3.130434783,0.08131616
594,lien,share,2.136363636,0.09853864
595,life,story,3.0,0.24296105
596,line,occupation,2.260869565,-0.024817543
597,line,plane,2.833333333,0.03581305
598,line,queue,4.541666667,0.2661202
599,lineup,roll,2.958333333,0.23362198
600,link,union,3.583333333,-0.008245326
601,lion,tiger,3.565217391,0.5121041
602,literature,poem,3.76,0.37743485
603,load,weight,4.043478261,0.3729643
604,location,property,3.347826087,0.28368464
605,loss,possession,2.954545455,0.17126653
606,low,shoulder,1.387755102,0.1111028
607,lyric,printer,1.244444444,-0.0056601395
608,magnolia,maple,2.68,0.45928425
609,male,man,4.619047619,0.36962923
610,man,soldier,3.875,0.47526482
611,manager,trainer,3.347826087,0.25137883
612,map,representation,3.434782609,0.13660063
613,map,sewing,1.347826087,0.019068336
614,map,video,1.695652174,0.14042057
615,maple,tree,3.833333333,0.37405685
616,mark,print,2.954545455,0.11065651
617,mark,slash,3.304347826,0.07085498
618,mask,roof,1.782608696,0.1666494
619,mate,relation,3.434782609,0.08556486
620,matter,text,3.269230769,0.11348016
621,matter,verse,1.913043478,0.07409991
622,mayor,water,1.113636364,0.19315057
623,meal,mixture,2.272727273,0.15900575
624,meal,rice,4.0,0.3124736
625,measure,money,2.565217391,0.114070095
626,measure,twist,1.590909091,0.07373618
627,meat,solid,2.5,0.07907993
628,melody,music,4.5,0.5026151
629,memory,operation,2.043478261,-0.043665975
630,metal,zinc,3.956521739,0.45227876
631,meter,radar,2.954545455,0.10327422
632,microwave,radiation,3.454545455,0.29255193
633,middle,scene,1.4,0.0696949
634,minute,quantity,2.608695652,0.058520887
635,mode,scale,2.173913043,0.12049628
636,modification,surprise,1.714285714,0.09045108
637,moment,thief,1.242424242,0.060375985
638,mortal,mother,2.25,0.2186273
639,mortal,visitor,1.923076923,0.11830668
640,motion,snowboarding,2.363636364,0.12945075
641,motion,step,3.142857143,0.14204465
642,motive,reason,3.909090909,0.46465206
643,motorcycle,tank,2.043478261,0.13684443
644,mount,volcano,3.238095238,0.026841272
645,mouth,opening,3.304347826,0.08801995
646,mouth,trap,2.333333333,0.19733718
647,murphy,potato,1.173913043,0.070355244
648,museum,store,2.695652174,0.29335648
649,music,print,1.958333333,0.15326732
650,musician,performer,3.952380952,0.4626093
651,needle,sharp,3.954545455,0.2185415
652,noise,trouble,3.15,0.1810331
653,note,obligation,2.166666667,0.031419564
654,notebook,product,2.217391304,0.18720415
655,notebook,production,1.666666667,0.036093406
656,novel,story,4.363636364,0.38693446
657,oak,tree,4.576923077,0.46933156
658,objective,target,4.086956522,0.4496128
659,occasion,second,1.75,0.061042853
660,occupation,place,1.956521739,0.047056112
661,occurrence,tsunami,2.47826087,0.10254973
662,ocean,pond,3.545454545,0.40868807
663,office,outlet,2.142857143,0.17316686
664,office,situation,1.24,0.07544568
665,onion,topic,1.183673469,0.06403984
666,operation,processing,3.409090909,0.29026195
667,operative,spy,2.739130435,0.2776686
668,opinion,papers,1.72,0.22333291
669,opinion,sentiment,3.136363636,0.39947817
670,origin,root,4.333333333,0.21403502
671,outlet,shop,3.565217391,0.42450726
672,oxygen,substance,2.565217391,0.27026966
673,package,software,3.4,0.18900615
674,padding,tower,1.863636364,0.027868269
675,painting,picture,4.186046512,0.39200062
676,papers,security,2.4,0.04932807
677,papers,ticket,3.181818182,0.12096806
678,parcel,region,2.0,0.14054744
679,park,stadium,3.333333333,0.42554185
680,passage,quotation,3.666666667,0.18501751
681,patch,spot,3.181818182,0.21534528
682,payment,spending,3.708333333,0.18535759
683,permission,tolerance,2.04,0.03303836
684,person,technician,3.458333333,0.2412055
685,phantom,shadow,3.227272727,0.22346307
686,piazza,square,2.2,0.3404057
687,piece,sail,1.333333333,0.064763315
688,pinnacle,tower,3.083333333,0.16204028
689,place,position,4.230769231,0.35330093
690,plane,sheet,2.130434783,0.012617721
691,plane,tool,2.304347826,0.029351545
692,play,turn,2.681818182,0.25862256
693,plot,strategy,2.9,0.21347624
694,point,second,1.826086957,0.2396597
695,point,site,2.96,0.08778851
696,point,spot,4.2,0.24205802
697,polyester,textile,4.285714286,0.41755167
698,position,view,3.0,0.3051007
699,postage,rate,3.086956522,0.19582963
700,postage,signal,1.48,0.04842388
